brand,model,price_per_unit,currency,market,pack_size,wifi_gen,n_bands,has_6ghz,has_mlo,phy_total_mbps,max_port_gbe,n_ports,ram_mb_num,coverage_sqm,is_premium_brand,is_repeater,has_smart_hub
TP-Link,Deco BE25,73.33333333333333,EUR,DE,1,7.0,2,0,1,3570.0,2.5,2.0,512.0,604.0,0,0,0
TP-Link,Deco BE3600 (BE23),63.333333333333336,EUR,DE,1,7.0,2,0,1,3570.0,1.0,2.0,512.0,604.0,0,0,0
TP-Link,Deco X50,59.166666666666664,EUR,DE,1,6.0,2,0,0,2976.0,1.0,3.0,512.0,604.0,0,0,0
NETGEAR,Orbi 370 (RBE373),216.66666666666666,EUR,DE,1,7.0,2,0,1,8612.0,2.5,3.0,1024.0,558.0,1,0,0
Amazon eero,eero 7,80.83333333333333,EUR,DE,1,7.0,2,0,1,5000.0,2.5,2.0,768.0,186.0,0,0,1
ASUS,ZenWiFi BT8,250.0,EUR,DE,1,7.0,3,1,1,12904.0,2.5,4.0,1024.0,548.0,1,0,0
Linksys,Velop Pro 7 (MBE7003),333.3333333333333,EUR,DE,1,7.0,3,1,1,10776.0,5.0,4.0,1024.0,837.0,1,0,0
Google,Nest Wifi Pro,153.0,EUR,DE,1,6.5,3,1,0,5404.0,1.0,2.0,1024.0,558.0,1,0,1
AVM,FRITZ!Repeater 6000,179.0,EUR,DE,1,6.0,3,0,0,6000.0,2.5,2.0,768.0,600.0,0,1,0
TP-Link,RE815XE,125.0,EUR,DE,1,6.5,3,1,0,5378.0,1.0,1.0,768.0,260.0,0,1,0
NETGEAR,Nighthawk EAX80,214.0,EUR,DE,1,6.0,2,0,0,6000.0,2.5,5.0,512.0,232.0,1,1,0
Devolo,Mesh WiFi 2,314.0,EUR,DE,1,5.0,2,0,0,5633.0,1.0,2.0,768.0,450.0,0,1,0
