signal,pearson_r,unit,grade,beta_multiplier,beta_old,beta_new,llm_mean_score,llm_positive_rate,n_samples_segment_agg
glinet_lockin_score,0.997321186494059,segment_pearson,trustworthy,1.0,1.5,1.5,0.012263489838822705,0.007708479327259986,21
openwrt_control_score,0.9889324158880577,segment_pearson,trustworthy,1.0,1.2,1.2,0.05255781359495445,0.028381219341275403,21
vpn_usecase_score,0.9417823743726197,segment_pearson,trustworthy,1.0,1.0,1.0,0.08724597056762438,0.05080588647512264,21
stability_pain_score,0.859668855735429,segment_pearson,trustworthy,1.0,1.4,1.4,0.382270497547302,0.21128241065171688,21
brand_lockin_score,0.81941555657913,segment_pearson,trustworthy,1.0,-0.4,-0.4,0.331114225648213,0.19166082690960057,21
coverage_pain_score,0.8046142606945796,segment_pearson,trustworthy,1.0,1.2,1.2,0.26278906797477225,0.14891380518570427,21
iot_pain_score,0.5951841095215007,segment_pearson,trustworthy,1.0,0.7,0.7,0.05606166783461808,0.032936229852838124,21
discount_dependency_score,0.5903620655668439,segment_pearson,trustworthy,1.0,-0.8,-0.8,0.03048353188507358,0.021373510861948143,21
competitor_substitution_score,0.5626797672825264,segment_pearson,trustworthy,1.0,-0.3,-0.3,0.16923615977575332,0.11387526278906797,21
price_complaint_score,0.3978262922897243,segment_pearson,grey,0.7,-1.2,-0.84,0.16713384723195515,0.11282410651716888,21
value_positive_score,0.38792839618626457,segment_pearson,grey,0.7,0.5,0.35,0.23510861948142958,0.1506657323055361,21
setup_friction_score,0.07757635207798635,segment_pearson,discard,0.0,0.3,0.0,0.22459705676243868,0.1475122634898388,21
subscription_aversion_score,,no_prior_baseline,rare_no_prior,0.6,1.6,0.96,0.03538892782060266,0.021373510861948143,2854
wireless_backhaul_failure_score,,no_prior_baseline,rare_no_prior,0.6,1.3,0.78,0.03679046951646812,0.020322354590049056,2854
defection_intent_score,,no_prior_baseline,active_no_prior,1.0,1.5,1.5,0.2757533286615277,0.15241765942536792,2854
no_subscription_value_score,,no_prior_baseline,very_rare_no_prior,0.3,0.9,0.27,0.01051156271899089,0.00700770847932726,2854
pro_control_score,,no_prior_baseline,active_no_prior,1.0,0.8,0.8,0.1867554309740715,0.13104414856341975,2854
